Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,137.250000,137.500000,134.160004,135.970001,133.849670,1096100
2020-12-01,137.500000,138.190002,134.820007,135.880005,133.761078,1719800
2020-12-02,134.820007,136.000000,132.160004,135.250000,133.140884,1576100
2020-12-03,135.320007,136.229996,130.759995,131.720001,129.665955,1969300
2020-12-04,132.509995,139.229996,132.210007,139.220001,137.048981,1157900
2020-12-07,139.440002,141.039993,138.100006,140.000000,137.816818,1122100
2020-12-08,139.210007,144.119995,138.199997,143.949997,141.705246,892700
2020-12-09,144.089996,146.110001,140.630005,142.550003,140.327042,1444400
2020-12-10,141.000000,143.699997,140.210007,141.429993,139.601563,1102900
2020-12-11,140.149994,141.940002,136.610001,138.649994,136.857498,962400
2020-12-14,140.559998,141.000000,134.250000,134.570007,132.830246,1387300
2020-12-15,136.770004,138.220001,135.009995,137.940002,136.156677,1211900
2020-12-16,138.690002,139.990005,135.529999,135.779999,134.024612,908800
2020-12-17,137.240005,137.970001,134.149994,137.479996,135.702606,1127700
2020-12-18,137.500000,139.289993,137.050003,138.899994,137.104248,2447400
2020-12-21,135.779999,142.179993,135.410004,142.020004,140.183929,1180900
2020-12-22,143.440002,147.990005,142.649994,146.270004,144.378998,1294200
2020-12-23,147.850006,152.820007,147.259995,149.910004,147.971909,1718100
2020-12-24,149.899994,150.369995,148.289993,149.639999,147.705429,487400
2020-12-28,151.389999,153.479996,149.600006,149.720001,147.784393,1228600
2020-12-29,149.479996,149.910004,144.740005,146.220001,144.329620,1112800
2020-12-30,148.169998,151.630005,147.759995,149.289993,147.359924,1041100
2020-12-31,148.759995,149.369995,146.809998,147.520004,145.612839,779200
2021-01-04,152.899994,156.759995,150.289993,152.630005,150.656784,2898700
2021-01-05,152.669998,166.779999,152.669998,162.929993,160.823593,2628000
2021-01-06,165.500000,178.589996,165.500000,175.100006,172.836288,3335500
2021-01-07,183.479996,187.250000,180.550003,184.000000,181.621216,2947800
2021-01-08,184.490005,186.929993,178.660004,184.100006,181.719925,1659400
2021-01-11,178.800003,180.000000,173.419998,177.289993,174.997925,2940000
2021-01-12,177.289993,183.139999,176.500000,182.500000,180.140579,1655200
2021-01-13,182.899994,182.990005,178.009995,179.919998,177.593964,1481400
2021-01-14,180.500000,184.089996,180.500000,182.369995,180.012283,1037800
2021-01-15,180.000000,183.779999,177.740005,180.139999,177.811111,1196600
2021-01-19,181.000000,185.630005,178.389999,185.250000,182.855057,1520700
2021-01-20,187.509995,188.350006,179.380005,180.190002,177.860443,1404400
2021-01-21,181.500000,181.990005,174.419998,176.410004,174.129333,1321300
2021-01-22,173.240005,174.869995,171.169998,173.710007,171.464233,2034500
2021-01-25,174.000000,179.500000,172.080002,176.919998,174.632721,1372300
2021-01-26,177.820007,178.830002,172.630005,175.380005,173.112640,1406100
2021-01-27,170.259995,170.600006,161.360001,168.850006,166.667068,2907700
2021-01-28,170.619995,171.149994,163.880005,166.369995,164.219131,1706500
2021-01-29,165.080002,169.460007,160.419998,162.660004,160.557114,3133400
2021-02-01,165.779999,167.899994,163.309998,166.369995,164.219131,1233900
2021-02-02,169.449997,171.649994,167.720001,169.250000,167.061890,1177200
2021-02-03,166.500000,171.119995,160.410004,161.880005,159.787186,2278800
2021-02-04,152.940002,156.500000,151.639999,154.899994,152.897400,8388900
2021-02-05,157.000000,159.100006,154.339996,157.169998,155.138062,4970300
2021-02-08,160.000000,163.860001,158.820007,161.559998,159.471313,2523900
2021-02-09,160.360001,161.279999,155.809998,158.690002,156.638428,1537600
2021-02-10,161.259995,161.800003,155.110001,156.050003,154.032547,1485500
2021-02-11,156.089996,160.449997,154.520004,159.850006,157.783432,1455000
2021-02-12,164.470001,165.949997,161.070007,164.639999,162.511490,1590000
2021-02-16,170.500000,171.350006,161.669998,162.199997,160.103043,1869300
2021-02-17,162.630005,162.759995,154.339996,157.470001,155.434189,2300400
2021-02-18,150.479996,151.250000,140.729996,141.460007,139.631180,4075000
2021-02-19,144.759995,156.979996,144.500000,156.169998,154.151001,3729900
2021-02-22,154.139999,159.880005,153.600006,156.490005,154.466873,2317400
2021-02-23,150.210007,155.259995,141.139999,154.619995,152.621033,2314500
2021-02-24,155.000000,162.130005,152.789993,160.899994,158.819855,1816500
2021-02-25,161.479996,162.899994,151.910004,153.479996,151.495773,1326300
2021-02-26,152.979996,158.910004,151.820007,157.210007,155.177567,1718100
2021-03-01,160.050003,161.279999,151.500000,152.949997,150.972641,2385400
2021-03-02,153.889999,158.630005,153.369995,153.720001,151.732681,1321400
2021-03-03,153.910004,154.690002,146.729996,147.000000,145.099564,1523100
2021-03-04,145.940002,146.649994,137.119995,141.509995,139.680542,2915300
2021-03-05,144.270004,144.580002,133.820007,143.880005,142.019897,1416700
2021-03-08,144.970001,146.699997,140.250000,140.690002,138.871124,1322900
2021-03-09,143.919998,148.330002,142.300003,145.770004,143.885468,1218900
2021-03-10,150.000000,156.309998,149.139999,152.300003,150.331039,1937200
2021-03-11,156.300003,162.000000,154.240005,161.270004,159.593750,1589700
2021-03-12,160.059998,161.929993,155.850006,157.279999,155.645203,984800
2021-03-15,156.080002,159.740005,156.080002,158.830002,157.179108,704300
2021-03-16,159.929993,159.929993,154.309998,155.360001,153.745178,957600
2021-03-17,153.270004,156.839996,151.580002,155.910004,154.289444,1014400
2021-03-18,155.470001,158.550003,152.410004,152.520004,150.934692,1326800
2021-03-19,152.690002,153.410004,148.639999,151.500000,149.925293,1670700
2021-03-22,151.600006,153.000000,148.750000,152.149994,150.568527,740300
